transaction_id,at,truck_name,truck_description,has_card_reader,fsa_rating,payment_method,total
4909,2026-01-04 09:03:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,499.0
1,2026-01-04 09:04:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
3985,2026-01-04 09:04:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2305,2026-01-04 09:07:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
3986,2026-01-04 09:10:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,940.0
3659,2026-01-04 09:12:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,399.0
4910,2026-01-04 09:12:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,599.0
2306,2026-01-04 09:14:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
3660,2026-01-04 09:22:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,499.0
2,2026-01-04 09:22:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2307,2026-01-04 09:24:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
3,2026-01-04 09:26:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
3987,2026-01-04 09:31:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2308,2026-01-04 09:32:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
3661,2026-01-04 09:34:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,399.0
2309,2026-01-04 09:40:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
4,2026-01-04 09:41:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,869.0
3988,2026-01-04 09:41:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
3662,2026-01-04 09:45:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,499.0
3989,2026-01-04 09:46:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
2310,2026-01-04 09:47:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
4911,2026-01-04 09:51:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,499.0
2311,2026-01-04 09:53:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
3990,2026-01-04 09:53:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
3663,2026-01-04 09:54:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,99.0
5,2026-01-04 09:56:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2312,2026-01-04 10:02:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
3664,2026-01-04 10:03:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,99.0
2313,2026-01-04 10:06:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
3991,2026-01-04 10:09:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
6,2026-01-04 10:15:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,969.0
2314,2026-01-04 10:16:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
7,2026-01-04 10:18:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
8,2026-01-04 10:21:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
3665,2026-01-04 10:22:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,99.0
2315,2026-01-04 10:24:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
9,2026-01-04 10:25:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
3992,2026-01-04 10:26:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,850.0
2316,2026-01-04 10:27:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
2317,2026-01-04 10:33:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
10,2026-01-04 10:39:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
3666,2026-01-04 10:40:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,99.0
2318,2026-01-04 10:42:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
3993,2026-01-04 10:42:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
2319,2026-01-04 10:45:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
11,2026-01-04 10:52:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
2320,2026-01-04 10:54:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
3994,2026-01-04 10:54:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
3667,2026-01-04 10:55:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,399.0
3995,2026-01-04 11:00:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2321,2026-01-04 11:04:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
12,2026-01-04 11:04:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,1010.0
2322,2026-01-04 11:05:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
3996,2026-01-04 11:06:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2323,2026-01-04 11:07:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2324,2026-01-04 11:08:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
2325,2026-01-04 11:08:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2326,2026-01-04 11:09:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
2327,2026-01-04 11:09:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
13,2026-01-04 11:10:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2328,2026-01-04 11:10:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2330,2026-01-04 11:11:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2329,2026-01-04 11:11:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
3997,2026-01-04 11:12:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2331,2026-01-04 11:12:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
4912,2026-01-04 11:12:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,699.0
2333,2026-01-04 11:13:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2334,2026-01-04 11:13:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2335,2026-01-04 11:13:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2336,2026-01-04 11:13:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2337,2026-01-04 11:13:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2332,2026-01-04 11:13:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
2338,2026-01-04 11:14:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2339,2026-01-04 11:15:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
3668,2026-01-04 11:15:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,499.0
2340,2026-01-04 11:16:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
14,2026-01-04 11:16:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
2341,2026-01-04 11:17:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
2342,2026-01-04 11:17:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
15,2026-01-04 11:17:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
2343,2026-01-04 11:18:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
3998,2026-01-04 11:19:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
2345,2026-01-04 11:19:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2344,2026-01-04 11:19:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2346,2026-01-04 11:20:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2347,2026-01-04 11:20:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2348,2026-01-04 11:21:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
2349,2026-01-04 11:22:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
2350,2026-01-04 11:22:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
16,2026-01-04 11:23:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2351,2026-01-04 11:23:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2352,2026-01-04 11:24:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2353,2026-01-04 11:24:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2354,2026-01-04 11:25:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2355,2026-01-04 11:26:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2356,2026-01-04 11:27:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2357,2026-01-04 11:27:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
3999,2026-01-04 11:27:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2358,2026-01-04 11:28:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2359,2026-01-04 11:28:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2360,2026-01-04 11:28:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2361,2026-01-04 11:28:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
3669,2026-01-04 11:29:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,99.0
2362,2026-01-04 11:29:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
17,2026-01-04 11:29:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2363,2026-01-04 11:30:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
18,2026-01-04 11:30:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2364,2026-01-04 11:31:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
2365,2026-01-04 11:32:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2368,2026-01-04 11:33:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2367,2026-01-04 11:33:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2370,2026-01-04 11:33:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2366,2026-01-04 11:33:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,199.0
4913,2026-01-04 11:33:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,699.0
4000,2026-01-04 11:33:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2369,2026-01-04 11:33:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2371,2026-01-04 11:34:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2373,2026-01-04 11:35:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2372,2026-01-04 11:35:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
19,2026-01-04 11:35:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
2374,2026-01-04 11:36:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2375,2026-01-04 11:37:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
2376,2026-01-04 11:37:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
4914,2026-01-04 11:38:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,599.0
2377,2026-01-04 11:38:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2378,2026-01-04 11:38:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
20,2026-01-04 11:39:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
2379,2026-01-04 11:39:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2380,2026-01-04 11:40:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2381,2026-01-04 11:41:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2382,2026-01-04 11:41:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
4001,2026-01-04 11:41:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2383,2026-01-04 11:42:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2384,2026-01-04 11:42:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2385,2026-01-04 11:43:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
21,2026-01-04 11:44:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,830.0
2386,2026-01-04 11:44:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
2387,2026-01-04 11:45:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2388,2026-01-04 11:46:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
3670,2026-01-04 11:46:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,99.0
22,2026-01-04 11:47:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,910.0
2389,2026-01-04 11:47:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2390,2026-01-04 11:47:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
4002,2026-01-04 11:47:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
4915,2026-01-04 11:47:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,499.0
2391,2026-01-04 11:49:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,1299.0
2392,2026-01-04 11:49:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2393,2026-01-04 11:50:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2394,2026-01-04 11:50:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2395,2026-01-04 11:50:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2396,2026-01-04 11:50:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2397,2026-01-04 11:51:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2398,2026-01-04 11:52:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2399,2026-01-04 11:52:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2400,2026-01-04 11:53:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
4003,2026-01-04 11:53:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
23,2026-01-04 11:53:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
3671,2026-01-04 11:54:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,399.0
2401,2026-01-04 11:54:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
2402,2026-01-04 11:55:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2403,2026-01-04 11:55:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2404,2026-01-04 11:56:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
2405,2026-01-04 11:57:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2406,2026-01-04 11:58:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2407,2026-01-04 11:58:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
2408,2026-01-04 11:59:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
2409,2026-01-04 11:59:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
4004,2026-01-04 12:00:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
24,2026-01-04 12:00:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2410,2026-01-04 12:00:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2411,2026-01-04 12:01:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2412,2026-01-04 12:02:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2413,2026-01-04 12:02:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
25,2026-01-04 12:02:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2414,2026-01-04 12:03:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
4005,2026-01-04 12:03:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2415,2026-01-04 12:03:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,799.0
26,2026-01-04 12:04:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,990.0
27,2026-01-04 12:05:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2416,2026-01-04 12:05:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
4916,2026-01-04 12:07:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,599.0
28,2026-01-04 12:07:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,1010.0
2417,2026-01-04 12:07:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
4006,2026-01-04 12:08:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2418,2026-01-04 12:09:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
29,2026-01-04 12:09:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
3672,2026-01-04 12:09:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Cash,99.0
4917,2026-01-04 12:10:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,699.0
